Date,Rainfall (mm)
25-05-2022,0
26-05-2022,0
27-05-2022,0
28-05-2022,0
29-05-2022,0
30-05-2022,0
31-05-2022,0
01-06-2022,0
02-06-2022,0
03-06-2022,4.156245876
04-06-2022,5.145594577
05-06-2022,0
06-06-2022,3.111151407
07-06-2022,0
08-06-2022,2.381119899
09-06-2022,0
10-06-2022,0
11-06-2022,1.592369392
12-06-2022,0
13-06-2022,2.780880899
14-06-2022,1.718032294
15-06-2022,0
16-06-2022,0
17-06-2022,1.36878064
18-06-2022,1.437497293
19-06-2022,0
20-06-2022,1.246935719
21-06-2022,1.499284536
22-06-2022,3.513638718
23-06-2022,3.509970494
24-06-2022,1.469784927
25-06-2022,1.267363419
26-06-2022,0
27-06-2022,1.925266427
28-06-2022,0
29-06-2022,0
30-06-2022,0
01-07-2022,5.915885932
02-07-2022,4.188768554
03-07-2022,0
04-07-2022,3.2485339
05-07-2022,0
06-07-2022,0
07-07-2022,7.403977362
08-07-2022,1.006859059
09-07-2022,0
10-07-2022,7.487741544
11-07-2022,0
12-07-2022,4.195623708
13-07-2022,4.218150762
14-07-2022,0
15-07-2022,2.713501606
16-07-2022,1.308697731
17-07-2022,2.53439465
18-07-2022,1.326190183
19-07-2022,0.942235078
20-07-2022,2.489929585
21-07-2022,5.164938904
22-07-2022,14.5925203
23-07-2022,0
24-07-2022,4.148316551
25-07-2022,1.345969764
26-07-2022,4.187098043
27-07-2022,0.579978382
28-07-2022,3.508000375
29-07-2022,2.544027903
30-07-2022,9.507821502
31-07-2022,1.864807412
01-08-2022,4.707733098
02-08-2022,2.265037056
03-08-2022,0
04-08-2022,1.16778761
05-08-2022,1.066849396
06-08-2022,0.682436141
07-08-2022,0.410601929
08-08-2022,1.349812498
09-08-2022,2.068606047
10-08-2022,1.266696583
11-08-2022,0
12-08-2022,0.731687764
13-08-2022,5.352377901
14-08-2022,0
15-08-2022,0.67513878
16-08-2022,0
17-08-2022,3.150108485
18-08-2022,0
19-08-2022,0.839508402
20-08-2022,1.497393102
21-08-2022,0
22-08-2022,3.215771703
23-08-2022,3.210380052
24-08-2022,0.575760981
25-08-2022,0
26-08-2022,5.620245438
27-08-2022,0
28-08-2022,0
29-08-2022,5.38997937
30-08-2022,0
31-08-2022,0.909051064
01-09-2022,7.699981167
02-09-2022,2.11094413
03-09-2022,1.214786567
04-09-2022,0
05-09-2022,0
06-09-2022,1.526460641
07-09-2022,6.833453543
08-09-2022,6.487429825
09-09-2022,0
10-09-2022,6.102377901
11-09-2022,0
12-09-2022,4.629019112
13-09-2022,0.460227055
14-09-2022,1.59203243
15-09-2022,0
16-09-2022,2.416584418
17-09-2022,3.855698003
18-09-2022,0
19-09-2022,2.534619828
20-09-2022,0
21-09-2022,5.479367821
22-09-2022,0
23-09-2022,0.709621802
24-09-2022,0
25-09-2022,3.756142212
26-09-2022,4.39506606
27-09-2022,2.947358723
28-09-2022,1.141290604
29-09-2022,2.17451538
30-09-2022,0
01-10-2022,0
02-10-2022,0
03-10-2022,0
04-10-2022,1.939159051
05-10-2022,0
06-10-2022,0
07-10-2022,0.792172747
